Id,Title,Category,Interaction,Priority,State,Description,Justification,NIST Controls
294,Spoofing the PostgreSQL Service Process,Spoofing,DB->Flask,Medium,Needs Investigation,PostgreSQL Service may be spoofed by an attacker and this may lead to unauthorized access to Flask Server. Consider using a standard authentication mechanism to identify the source process.,Da mitigare autenticazione mutua.,IA-3 Device Identification and Authentication|SC-8 Transmission Confidentiality and Integrity|SC-23 Session Authenticity
293,Elevation by Changing the Execution Flow in PostgreSQL Service,Elevation Of Privilege,Flask->DB,Low,Not Applicable,An attacker may pass data into PostgreSQL Service in order to change the flow of program execution within PostgreSQL Service to the attacker's choosing.,,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
292,PostgreSQL Service May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,Flask->DB,Low,Not Applicable,Flask Server may be able to remotely execute code for PostgreSQL Service.,,SI-10 Information Input Validation|AC-3 Access Enforcement|SI-7 Software and Information Integrity
291,Data Flow Generic Data Flow Is Potentially Interrupted,Denial Of Service,Flask-&gt;DB,Low,Not Applicable,An external agent interrupts data flowing across a trust boundary in either direction.,,SC-5 Denial of Service Protection|SC-7 Boundary Protection
290,Potential Process Crash or Stop for PostgreSQL Service,Denial Of Service,Flask-&gt;DB,Low,Not Applicable,"PostgreSQL Service crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,SC-5 Denial of Service Protection|SI-11 Error Handling
289,Data Flow Sniffing,Information Disclosure,Flask-&gt;DB,Medium,Mitigated,"Data flowing across Generic Data Flow may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",Dati cifrati a monte,SC-8 Transmission Confidentiality and Integrity|SC-13 Cryptographic Protection
288,Potential Data Repudiation by PostgreSQL Service,Repudiation,Flask-&gt;DB,Low,Mitigated,"PostgreSQL Service claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",Logging su PostgreSQL abilitato di default,AU-2 Audit Events|AU-3 Content of Audit Records|AU-12 Audit Generation
287,Potential Lack of Input Validation for PostgreSQL Service,Tampering,Flask-&gt;DB,Medium,Mitigated,Data flowing across Generic Data Flow may be tampered with by an attacker. This may lead to a denial of service attack against PostgreSQL Service or an elevation of privilege attack against PostgreSQL Service or an information disclosure by PostgreSQL Service. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,Input sempre validato,SI-10 Information Input Validation|SC-7 Boundary Protection
286,Spoofing the PostgreSQL Service Process,Spoofing,Flask-&gt;DB,High,Mitigated,PostgreSQL Service may be spoofed by an attacker and this may lead to information disclosure by Flask Server. Consider using a standard authentication mechanism to identify the destination process.,"Anche se ricevesse delle credenziali, hanno durata limitata e privilegi bassi. Sul DB tutti i dati sono cifrati",IA-2 Identification and Authentication|SC-8 Transmission Confidentiality and Integrity
285,Spoofing the Flask Server Process,Spoofing,Flask-&gt;DB,Medium,Mitigated,Flask Server may be spoofed by an attacker and this may lead to unauthorized access to PostgreSQL Service. Consider using a standard authentication mechanism to identify the source process.,"Autenticazione tramite credenziali Vault, altrimenti non è consentito l'accesso.",IA-2 Identification and Authentication|AC-3 Access Enforcement
